company,city,state,source,source_id,provenance_url,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,script_cfo,script_facilities,script_sustainability,pitch_angle
"Stanley Patterson Hall","Dallas-Fw","TX","osm_industrial","osm-152597562","https://www.openstreetmap.org/way/osm-152597562","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Fracking Well Site","Dallas-Fw","TX","osm_industrial","osm-163934016","https://www.openstreetmap.org/way/osm-163934016","","","","","","","","600","904032","90403","7.3","970164","","","","","Well_cluster building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Brazos Electric","Frisco","TX","osm_industrial","osm-171718430","https://www.openstreetmap.org/way/osm-171718430","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"D.R. Joseph Inc.","Arlington","TX","osm_industrial","osm-175749254","https://www.openstreetmap.org/way/osm-175749254","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"North Texas Municipal Water District","Dallas-Fw","TX","osm_industrial","osm-193247468","https://www.openstreetmap.org/way/osm-193247468","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Sam'S Club Distribution Center","Dallas-Fw","TX","osm_industrial","osm-198388688","https://www.openstreetmap.org/way/osm-198388688","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Orange County Container","Forney","TX","osm_industrial","osm-198983295","https://www.openstreetmap.org/way/osm-198983295","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Samplehouse","Dallas","TX","osm_industrial","osm-222240965","https://www.openstreetmap.org/way/osm-222240965","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Monkeysports","Allen","TX","osm_industrial","osm-223364429","https://www.openstreetmap.org/way/osm-223364429","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Spartan Printing Inc.","Dallas-Fw","TX","osm_industrial","osm-257639286","https://www.openstreetmap.org/way/osm-257639286","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Junk","Dallas-Fw","TX","osm_industrial","osm-264691242","https://www.openstreetmap.org/way/osm-264691242","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"North Texas Municipal Water District","Richardson","TX","osm_industrial","osm-270990124","https://www.openstreetmap.org/way/osm-270990124","","","","","","","","600","904032","90403","7.3","970164","","","","","Recycling building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Natural Gas Extraction Site","Dallas-Fw","TX","osm_industrial","osm-314668758","https://www.openstreetmap.org/way/osm-314668758","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Natural Gas Extraction Site","Dallas-Fw","TX","osm_industrial","osm-314668759","https://www.openstreetmap.org/way/osm-314668759","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Natural Gas Extraction Site","Dallas-Fw","TX","osm_industrial","osm-314668760","https://www.openstreetmap.org/way/osm-314668760","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Natural Gas Extraction Site","Dallas-Fw","TX","osm_industrial","osm-314668761","https://www.openstreetmap.org/way/osm-314668761","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Natural Gas Extraction Site","Dallas-Fw","TX","osm_industrial","osm-314668762","https://www.openstreetmap.org/way/osm-314668762","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Natural Gas Extraction Site","Dallas-Fw","TX","osm_industrial","osm-314668763","https://www.openstreetmap.org/way/osm-314668763","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Wingfoot Dallas","Dallas-Fw","TX","osm_industrial","osm-319346762","https://www.openstreetmap.org/way/osm-319346762","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
